,start_node,end_node,Gene,Correlation
5_4_1_0,5_4_0_0,5_4_1_0,FUT11_HUMAN,0.399
5_4_2_0,5_4_1_0,5_4_2_0,FUT1_HUMAN,0.863
5_4_3_0,5_4_2_0,5_4_3_0,FUT9_HUMAN,0.971
6_5_1_0,6_5_0_0,6_5_1_0,FUT11_HUMAN,0.614
6_5_2_0,6_5_1_0,6_5_2_0,FUT10_HUMAN,0.849
6_5_3_0,6_5_2_0,6_5_3_0,FUT2_HUMAN,0.975
6_5_4_0,6_5_3_0,6_5_4_0,FUT8_HUMAN,0.879
7_6_1_0,7_6_0_0,7_6_1_0,FUT8_HUMAN,0.18
7_6_2_0,7_6_1_0,7_6_2_0,FUT10_HUMAN,0.974
7_6_3_0,7_6_2_0,7_6_3_0,FUT9_HUMAN,0.998
7_6_4_0,7_6_3_0,7_6_4_0,FUT2_HUMAN,0.998
7_6_5_0,7_6_4_0,7_6_5_0,FUT8_HUMAN,0.996
