Genes,ccd,ccd,ccd
ATD3B_HUMAN,0.276696563,0.273361542,1.346588607
PRD16_HUMAN,-0.340850857,-0.340850857,0.296259822
PEX10_HUMAN,3.606361504,3.32316388,3.801263664
PEX14_HUMAN,3.748981272,3.493865697,3.117768007
SPSB1_HUMAN,2.324234228,2.432711588,2.697892218
PKHM2_HUMAN,5.923415127,5.841990093,6.017771533
NMNA1_HUMAN,3.655484737,3.950109733,4.124995154
CHD5_HUMAN,-0.340850857,-0.340850857,-0.340850857
TMM51_HUMAN,6.67287414,6.101710889,6.38618398
FBX42_HUMAN,3.205771307,3.910455573,3.707552626
AL4A1_HUMAN,4.506232312,4.496968782,4.805767932
CLCN6_HUMAN,3.878761874,4.32665626,3.607329065
RER1_HUMAN,6.331235427,6.195434058,6.308517953
PANK4_HUMAN,2.197285588,2.316153655,2.880743328
VP13D_HUMAN,5.573316185,6.219972474,5.266425551
RET7_HUMAN,-0.340850857,-0.340850857,-0.340850857
GP157_HUMAN,3.748981272,2.640889929,3.321290704
ZBT40_HUMAN,4.423568075,4.233314293,4.263153899
NPHP4_HUMAN,1.90399146,2.050305593,1.947944625
SZRD1_HUMAN,6.066494419,6.236102572,6.183568087
PDK1L_HUMAN,2.324234228,2.432711588,2.488455847
NECP2_HUMAN,5.453435054,5.70962515,5.702662758
PHAR4_HUMAN,6.102368201,6.321731778,6.056296767
CNKR1_HUMAN,-0.340850857,-0.340850857,-0.340850857
ICMT_HUMAN,6.368541175,6.321731778,6.112221778
MED18_HUMAN,5.00026634,4.892570403,4.124995154
SL9A1_HUMAN,3.702990274,3.784501481,3.188847197
ARH_HUMAN,5.276324897,5.028436953,5.181836486
ATIF1_HUMAN,8.380250366,8.438462925,8.389199
SDC3_HUMAN,5.683995501,5.873267174,5.62789571
PAFA2_HUMAN,5.056212193,5.251135708,4.736284077
DNJC8_HUMAN,7.676235121,7.34837461,7.561136358
SESN2_HUMAN,6.277331671,6.499291724,6.324389248
SERC2_HUMAN,7.137925922,7.4207263,7.206011289
AJAP1_HUMAN,-0.340850857,-0.340850857,-0.340850857
PTAFR_HUMAN,-0.340850857,-0.340850857,-0.340850857
NKAI1_HUMAN,0.276696563,-0.340850857,-0.340850857
SNR40_HUMAN,2.992930665,3.26145925,3.383215487
S2533_HUMAN,2.058078915,3.382337271,2.697892218
CXB3_HUMAN,-0.340850857,-0.340850857,-0.340850857
DJC16_HUMAN,5.982360265,5.903880544,5.937490247
EYA3_HUMAN,6.196655369,5.913942326,5.906194369
ZN593_HUMAN,3.702990274,2.822781781,3.442591307
EPHA2_HUMAN,3.391210818,3.493865697,3.607329065
ARHGJ_HUMAN,3.655484737,3.546554987,3.658310983
GP153_HUMAN,2.440909998,3.129519424,3.256588254
KAZRN_HUMAN,5.17888716,5.028436953,5.377090317
TNR1B_HUMAN,5.074388867,4.787038881,5.035246068
UBE4B_HUMAN,5.882736393,5.903880544,5.702662758
PTPRU_HUMAN,3.270269458,3.597387599,3.383215487
ZMYM6_HUMAN,4.961726271,5.152602271,4.976192541
AGO4_HUMAN,4.107807238,3.869680593,3.889257149
BOREA_HUMAN,3.878761874,3.493865697,4.011935787
ZBT8B_HUMAN,-0.340850857,-0.340850857,-0.340850857
RL22_HUMAN,7.53899095,7.599685293,7.658258582
RN207_HUMAN,1.039210356,0.273361542,-0.340850857
PAX7_HUMAN,-0.340850857,-0.340850857,-0.340850857
EXTL1_HUMAN,1.731456765,2.734700525,2.371109553
CASZ1_HUMAN,1.90399146,1.724146699,1.576029644
SPEB_HUMAN,1.308561741,1.03330744,1.576029644
IDLC_HUMAN,2.440909998,3.058730152,2.371109553
RRAGC_HUMAN,4.860615825,4.673174283,4.358729203
GRIK3_HUMAN,-0.340850857,-0.340850857,-0.340850857
YRDC_HUMAN,4.751881438,4.719803957,5.015828906
RCC2_HUMAN,5.991954491,5.799203747,6.046761475
PSB2_HUMAN,6.084542811,6.127881486,6.474179962
CASP9_HUMAN,3.138254159,2.734700525,2.697892218
DDI2_HUMAN,4.27430924,3.869680593,3.658310983
QCR6_HUMAN,8.067367749,8.224724018,8.078919747
TR150_HUMAN,7.708598958,7.701943636,7.698395968
CA122_HUMAN,6.084542811,6.178840132,6.027499716
EPHAA_HUMAN,-0.340850857,-0.340850857,-0.340850857
FHL3_HUMAN,3.997825257,4.265104048,4.011935787
RHBL2_HUMAN,2.058078915,2.189344518,2.243366637
I5P2_HUMAN,3.502793157,3.827719585,3.554479343
F183A_HUMAN,-0.340850857,-0.340850857,0.736681169
ZMYM4_HUMAN,6.30068032,6.583651931,6.459881658
UTP11_HUMAN,5.623557992,5.799203747,5.796681812
CA216_HUMAN,4.609562686,4.649281818,4.327569023
RLF_HUMAN,6.137371553,6.211839288,6.276241751
CLSPN_HUMAN,3.878761874,4.098650102,3.889257149
NOG2_HUMAN,6.731321187,6.479102945,6.523136722
MORN1_HUMAN,-0.340850857,1.302030179,1.576029644
TTC22_HUMAN,-0.340850857,-0.340850857,-0.340850857
MYCBP_HUMAN,4.27430924,3.739948626,4.088284418
RIMS3_HUMAN,-0.340850857,0.273361542,-0.340850857
ECHD2_HUMAN,5.291943411,5.028436953,5.146561493
RAB3B_HUMAN,10.42537527,10.71560152,10.33568166
SIM12_HUMAN,5.228428475,4.764973571,5.015828906
TMM61_HUMAN,-0.340850857,-0.340850857,0.296259822
ERI3_HUMAN,2.914383283,2.734700525,2.596971191
CZIB_HUMAN,5.127583944,5.343367585,5.073313548
PODN_HUMAN,4.981124996,4.742565535,5.436713612
OSBL9_HUMAN,5.753329338,5.810019882,5.88494681
CA210_HUMAN,-0.340850857,-0.340850857,-0.340850857
SYPM_HUMAN,2.197285588,2.540552476,2.103204187
ZY11A_HUMAN,0.276696563,1.03330744,-0.340850857
ZY11B_HUMAN,7.976052903,8.152199458,8.024094176
SF3A3_HUMAN,5.494512272,5.852491309,5.738641721
TTC4_HUMAN,0.707754626,0.70280457,1.346588607
PLPP3_HUMAN,8.442801772,8.066844796,8.350969606
SNIP1_HUMAN,5.00026634,5.100691348,4.996146839
CPT2_HUMAN,4.774293823,4.414324272,4.419100412
FOXJ3_HUMAN,4.942063148,5.282539401,4.850298325
TUT4_HUMAN,6.229469221,6.119210595,6.276241751
MGN_HUMAN,7.242100261,7.40654333,7.38693569
CDN2C_HUMAN,2.440909998,2.432711588,1.346588607
ZSWM5_HUMAN,-0.340850857,1.03330744,0.736681169
OMA1_HUMAN,3.606361504,3.784501481,3.658310983
S35D1_HUMAN,5.73058629,6.388198515,5.968121624
LRP8_HUMAN,4.860615825,4.414324272,4.71235868
TEAN2_HUMAN,4.242510731,4.200808238,3.755168893
KTI12_HUMAN,2.548851742,2.984287397,3.256588254
LRC42_HUMAN,6.261553295,6.423842806,6.139391789
KANK4_HUMAN,-0.340850857,-0.340850857,-0.340850857
UBP1_HUMAN,6.495377781,6.596203502,6.430852772
KAD5_HUMAN,5.586041618,5.100691348,5.361791361
GIPC2_HUMAN,1.308561741,-0.340850857,-0.340850857
AUXI_HUMAN,0.276696563,0.273361542,0.296259822
KAD4_HUMAN,4.242510731,4.385689469,4.263153899
OBRG_HUMAN,7.973633782,7.93471623,8.06717711
CAHD1_HUMAN,1.90399146,1.302030179,1.073627923
EFCB7_HUMAN,0.707754626,1.896423676,-0.340850857
MCLN2_HUMAN,1.308561741,0.70280457,1.346588607
ATG4C_HUMAN,4.729115373,4.673174283,4.955958374
AGRL4_HUMAN,4.682476281,4.356474789,4.688029809
MTF1_HUMAN,4.860615825,4.719803957,4.66328362
TTLL7_HUMAN,6.020360186,5.963224799,5.916701942
KDM4A_HUMAN,6.102368201,6.675230341,5.947773139
BCD1_HUMAN,6.792990982,6.692868553,6.848085773
PF2R_HUMAN,5.913352468,5.852491309,5.998116132
