Genes,GLC01,A549,BEAS,NCI-H23,CALU-3
ATD3B_HUMAN,-0.340850857,0.928666575,2.842257387,4.387804496,2.873049525
PRD16_HUMAN,-0.142594238,1.282426803,-0.340850857,2.655598848,-0.340850857
PEX10_HUMAN,4.168171767,4.178317109,3.932524668,4.478708196,4.021410588
PEX14_HUMAN,3.24351339,3.575851905,4.088121866,3.689607909,3.260967939
SPSB1_HUMAN,2.29791012,3.46817828,1.483321752,1.819646644,0.992168295
PKHM2_HUMAN,4.733472954,5.098234444,5.80594383,4.841215281,4.242703952
NMNA1_HUMAN,2.131378005,3.290880247,4.172474274,2.772947732,2.301442946
CHD5_HUMAN,-0.142594238,-0.014861464,0.340635764,2.216933113,-0.137246653
TMM51_HUMAN,5.265473183,6.065083061,4.155429048,4.693690371,6.535930552
FBX42_HUMAN,2.894292458,3.228344884,4.119388562,3.927369697,3.080916431
AL4A1_HUMAN,5.025592835,5.091023339,4.118189944,4.431454972,4.466400769
CLCN6_HUMAN,3.304582882,3.653537265,4.498888561,2.866171721,3.877903796
RER1_HUMAN,5.248572869,4.70409415,5.780365064,5.558289883,5.272598098
PANK4_HUMAN,2.472534982,2.237337717,2.392056506,2.53695421,1.56986571
VP13D_HUMAN,5.357924775,5.388434915,5.896253205,5.535821044,5.276305835
RET7_HUMAN,-0.12854251,0.868305231,3.76811064,2.692981722,-0.137246653
GP157_HUMAN,3.494118646,2.292197181,2.191319148,3.448807445,2.33847614
ZBT40_HUMAN,4.029366524,4.555200298,5.339649658,5.239850689,4.720257157
NPHP4_HUMAN,2.125117125,2.959855903,2.674050617,3.330822314,2.247133699
SZRD1_HUMAN,5.493480648,5.63253994,5.622864543,5.727964978,5.175337739
PDK1L_HUMAN,2.951593741,3.023565252,3.843629461,2.557302452,3.29491918
NECP2_HUMAN,3.628147668,4.447222821,4.286875451,4.350292966,3.621953008
PHAR4_HUMAN,6.306179792,6.973395724,7.401547265,7.296796144,7.096520355
CNKR1_HUMAN,-0.340850857,-0.340850857,1.683005236,1.474932446,2.515838723
ICMT_HUMAN,5.928638849,5.049772419,5.570394982,5.880284155,5.225163797
MED18_HUMAN,5.028792616,5.704228809,6.62533266,5.679445241,5.674114417
SL9A1_HUMAN,2.449920795,1.781350261,3.881931556,2.826985149,2.688502081
ARH_HUMAN,3.905254677,3.694669931,5.026967384,4.405786767,3.773254519
ATIF1_HUMAN,8.067094129,8.122558821,8.276073098,7.634566128,8.119319671
SDC3_HUMAN,1.875277586,2.783442197,3.534301935,3.212812155,2.810717852
PAFA2_HUMAN,4.565201356,4.343029527,3.448146806,4.63543508,4.724924887
DNJC8_HUMAN,6.912070971,7.854615827,8.277022469,8.011803081,7.078753081
SESN2_HUMAN,4.933602594,4.032731676,7.595626967,4.56253395,5.509474785
SERC2_HUMAN,5.529745234,1.708101884,3.05782199,1.512587875,4.76277384
AJAP1_HUMAN,-0.340850857,-0.340850857,-0.340850857,3.573077052,-0.340850857
PTAFR_HUMAN,1.409439808,-0.012256657,0.632005434,0.241700043,0.683234377
NKAI1_HUMAN,0.271075634,0.791905648,-0.340850857,0.948540261,-0.340850857
SNR40_HUMAN,3.954854806,3.868674202,4.300365554,4.559102434,3.775096869
S2533_HUMAN,2.994431307,2.276224925,3.746930302,3.901407561,3.060577275
CXB3_HUMAN,0.417853426,-0.340850857,-0.340850857,0.580990495,3.499676247
DJC16_HUMAN,5.386281141,5.169163122,5.208316747,5.292165698,4.995334676
EYA3_HUMAN,4.517358714,5.15751985,5.068090544,5.182632056,4.617120415
ZN593_HUMAN,4.501638984,4.293567924,5.297918669,5.253915308,3.689994431
EPHA2_HUMAN,2.75910942,3.524086363,2.570890625,4.244487369,4.093038711
ARHGJ_HUMAN,4.075906866,3.900321806,4.391473664,5.713632678,4.472089134
GP153_HUMAN,0.317968695,1.260578257,2.003282199,1.455058558,0.716719815
KAZRN_HUMAN,2.222681097,2.079424098,0.29524124,4.366646313,2.206689973
TNR1B_HUMAN,0.058767287,1.409077637,0.132556066,2.034833753,2.643114706
UBE4B_HUMAN,5.076703292,5.306237776,4.898439339,5.590076192,4.483297862
PTPRU_HUMAN,4.771150094,3.510206714,3.759060423,2.777159191,4.782487174
ZMYM6_HUMAN,4.160654803,4.340405438,3.79157468,4.56836672,4.531529057
AGO4_HUMAN,3.61455255,4.333263727,5.52732677,3.500753313,4.148699246
BOREA_HUMAN,6.223600811,6.951209544,6.61559402,7.618128524,6.449609272
ZBT8B_HUMAN,-0.340850857,-0.155374411,0.761462595,1.705622897,0.079179578
RL22_HUMAN,7.464379107,7.473708252,6.472735604,7.981457034,7.525700959
RN207_HUMAN,2.321105189,2.282470261,0.617095441,2.319096378,3.176571275
PAX7_HUMAN,4.689561788,-0.150746835,-0.340850857,0.241700043,-0.340850857
EXTL1_HUMAN,-0.139489332,-0.340850857,-0.340850857,-0.340850857,-0.340850857
CASZ1_HUMAN,1.315096693,1.708258952,2.415160697,3.466200425,3.464146098
SPEB_HUMAN,4.893863136,2.0622283,0.820992946,2.749381443,4.046727062
IDLC_HUMAN,-0.340850857,-0.340850857,2.267127009,-0.340850857,2.452576502
RRAGC_HUMAN,3.431919659,4.012964286,5.418378414,3.442587516,4.130905732
GRIK3_HUMAN,-0.340850857,-0.340850857,-0.340850857,3.083513973,-0.340850857
YRDC_HUMAN,5.093896177,4.585504902,5.161782412,5.907223619,5.021239694
RCC2_HUMAN,5.270884611,6.40172769,5.978331494,5.688805832,5.707472339
PSB2_HUMAN,6.497070353,6.691420744,6.344872065,6.81706216,6.705326243
CASP9_HUMAN,5.434879762,3.530664086,2.55243186,1.472607767,2.446931659
DDI2_HUMAN,4.722522667,5.059892907,4.85597117,5.909972393,5.158814249
QCR6_HUMAN,9.220029929,9.161574114,7.55279607,9.257391412,8.977883056
TR150_HUMAN,7.548924412,8.3509843,8.210658005,8.478458934,7.686169839
CA122_HUMAN,5.333973246,4.605010462,4.817812251,4.907839692,4.74912
EPHAA_HUMAN,-0.142594238,-0.149017584,-0.073839023,0.823066114,1.707509174
FHL3_HUMAN,1.008233722,3.314431069,4.504581664,2.322620315,3.479672775
RHBL2_HUMAN,1.011793961,3.089624857,0.931901956,-0.340850857,4.21584889
I5P2_HUMAN,3.367469476,3.883069752,3.380347677,3.78822535,3.912501261
F183A_HUMAN,0.069714109,-0.155374411,-0.025111469,1.627633712,-0.340850857
ZMYM4_HUMAN,5.6426481,6.203598677,6.309083014,6.603894461,6.269446668
UTP11_HUMAN,6.142757429,6.485335963,6.418270631,6.753844128,6.384348145
CA216_HUMAN,3.778196405,4.101664901,4.152668315,5.156743631,3.627356596
RLF_HUMAN,5.996278435,6.985059629,7.186527559,6.680697976,6.491007519
CLSPN_HUMAN,6.228117301,6.861709052,8.73299261,8.2669966,6.048929472
NOG2_HUMAN,5.821839444,6.390909708,7.136873722,7.693182831,7.26285034
MORN1_HUMAN,1.118030466,1.280721395,1.335755335,1.706905234,1.728378592
TTC22_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.340850857,2.066356599
MYCBP_HUMAN,4.813146185,4.890817283,3.228045962,5.416245192,5.236492429
RIMS3_HUMAN,1.708753045,2.44445606,1.547801337,3.132594671,0.007585212
ECHD2_HUMAN,4.034864739,3.621554819,5.279841809,4.410374926,5.012362965
RAB3B_HUMAN,4.858498194,7.19327551,6.321755638,3.744796865,3.709672528
SIM12_HUMAN,4.597594833,4.130995224,4.88883362,4.600450577,4.666441256
TMM61_HUMAN,1.416028476,0.358359982,0.462669512,-0.124300497,1.536271408
ERI3_HUMAN,3.107907079,2.969583883,2.653363597,3.590525308,2.721433678
CZIB_HUMAN,4.421783436,4.952495264,4.979588744,4.202390471,3.618172189
PODN_HUMAN,-0.340850857,-0.340850857,-0.054882178,-0.340850857,-0.340850857
OSBL9_HUMAN,6.322742474,6.652079242,6.160889925,6.357492813,6.442996347
CA210_HUMAN,-0.340850857,0.169977686,-0.340850857,-0.340850857,4.310472689
SYPM_HUMAN,2.597115651,3.150954129,2.738594469,3.255452981,3.582925564
ZY11A_HUMAN,0.209686206,2.574432195,1.3232005,3.18003922,-0.340850857
ZY11B_HUMAN,6.871354841,7.143471325,7.147373316,7.208925509,6.070141056
SF3A3_HUMAN,5.728970312,6.629383405,6.700366535,7.06802659,6.548971296
TTC4_HUMAN,1.348911869,2.282627514,2.653313793,1.960390123,1.256278363
PLPP3_HUMAN,4.830208356,5.496477915,3.712895421,2.590821954,3.643137825
SNIP1_HUMAN,4.146181665,4.886015453,5.656836043,4.843055472,4.719885699
CPT2_HUMAN,4.838951349,4.555113385,4.979036461,4.634708838,5.155422091
FOXJ3_HUMAN,4.717954071,5.691165223,6.050498047,6.036148047,5.678057211
TUT4_HUMAN,6.304357935,7.03475682,6.783437766,6.885391705,6.046448873
MGN_HUMAN,8.072090947,8.332617001,8.94967022,9.063217899,8.477557021
CDN2C_HUMAN,4.253780622,4.167202305,4.8223242,1.853312865,3.346899611
ZSWM5_HUMAN,1.82707094,0.176971809,-0.189046399,0.969151632,-0.125928928
OMA1_HUMAN,4.472018365,4.651192687,3.654664748,4.271403154,4.899358324
S35D1_HUMAN,4.794339189,4.879588982,5.043114423,4.395035277,3.448392204
