Compounds,GLC01,A549,BEAS,NCI-H23,CALU-3
3_3_0_0,0.13,0.073333333,0.083333333,0.023333333,0.046666667
7_6_0_0,0.946666667,0.376666667,0.456666667,0.536666667,0.213333333
8_7_0_0,0.2,0.183333333,0.066666667,0.006666667,0.05
9_8_0_0,0.14,0.05,0.02,0.063333333,0.106666667
3_5_0_0,0.003333333,0.03,0.046666667,0.013333333,0
3_4_0_0,0.016666667,0,0.066666667,0.133333333,0.043333333
7_7_0_0,0.01,0,0,0.003333333,0.526666667
9_9_0_0,0.003333333,0,0,0,0
4_6_0_0,0,0,0,0,0
6_6_0_0,0.016666667,0.023333333,0,0,0.453333333
8_8_0_0,0,0.003333333,0,0,0.143333333
6_7_0_0,0,0,0.006666667,0,0.003333333
5_6_0_0,0,0,0,0,0.046666667
3_4_1_0,0.256666667,0.263333333,0.43,0.696666667,0.296666667
3_3_1_0,0.166666667,0.126666667,0.336666667,0.413333333,0.276666667
3_5_1_0,0.04,0.06,0.133333333,0.216666667,0.143333333
7_6_1_0,1.86,1.92,0.76,2.01,1.44
7_6_2_0,0.28,0.033333333,0.256666667,0.046666667,0.663333333
6_6_2_0,0.006666667,0.036666667,0.006666667,0,3
7_7_1_0,0.086666667,0.016666667,0,0.023333333,4.126666667
8_7_2_0,0.023333333,0,0.053333333,0.023333333,0.156666667
8_7_1_0,0.97,0.646666667,0.166666667,0.35,0.45
9_8_1_0,0.706666667,0.71,0.053333333,0.12,0.16
6_5_4_0,0.023333333,0.026666667,0,0.096666667,0.116666667
8_7_6_0,0.493333333,0.306666667,0,0,0
9_8_6_0,0.383333333,0.036666667,0,0.01,0
9_8_2_0,0.02,0,0.02,0.026666667,0.096666667
4_6_1_0,0.13,0.163333333,0,0.02,0.07
9_8_3_0,0.086666667,0.1,0.066666667,0,0.033333333
3_3_2_0,0.01,0,0,0,0.006666667
8_7_3_0,0.116666667,0.026666667,0.063333333,0.056666667,0.023333333
4_7_1_0,0.006666667,0,0.003333333,0.036666667,0.013333333
7_6_4_0,0.013333333,0,0,0,0.213333333
4_7_4_0,0.006666667,0,0,0,0
6_6_1_0,0.19,0.106666667,0,0.176666667,3.623333333
3_6_1_0,0.01,0.006666667,0.036666667,0.11,0.133333333
5_7_3_0,0.023333333,0,0,0,0.01
5_6_1_0,0.01,0,0,0,0.066666667
8_8_1_0,0.013333333,0,0,0,0.86
7_6_3_0,0.013333333,0,0.01,0.04,0.416666667
8_7_5_0,0.013333333,0,0.013333333,0,0
7_7_3_0,0.003333333,0,0,0.02,1.53
9_8_5_0,0.01,0,0,0,0.003333333
7_6_5_0,0,0.016666667,0,0.023333333,0.043333333
5_5_4_0,0,0,0.006666667,0,0.116666667
3_6_5_0,0,0,0.003333333,0,0.003333333
6_6_3_0,0,0.006666667,0.01,0,2.133333333
3_5_2_0,0,0.003333333,0,0,0.016666667
9_8_7_0,0,0.006666667,0,0,0.006666667
3_6_4_0,0,0,0,0,0
6_6_4_0,0,0.006666667,0,0,0.613333333
4_6_3_0,0,0.003333333,0,0,0
9_8_4_0,0,0.016666667,0,0,0.003333333
4_6_2_0,0,0.006666667,0,0,0.03
5_6_3_0,0,0.01,0,0,0.113333333
6_7_2_0,0,0.003333333,0,0,0.17
3_6_3_0,0,0,0.006666667,0,0.076666667
3_7_1_0,0,0,0,0,0.01
6_7_1_0,0,0,0,0,0.19
7_7_5_0,0,0,0,0,0.106666667
5_6_4_0,0,0,0,0,0.1
6_7_5_0,0,0,0,0,0.033333333
6_7_4_0,0,0,0,0,0.133333333
7_7_4_0,0,0,0,0,0.57
5_6_2_0,0,0,0,0,0.08
7_7_2_0,0,0,0,0,2.766666667
6_7_3_0,0,0,0,0,0.226666667
5_7_2_0,0,0,0,0,0.02
6_6_5_0,0,0,0,0,0.13
9_9_1_0,0,0,0,0,0.126666667
5_7_1_0,0,0,0,0,0.02
8_8_4_0,0,0,0,0,0.043333333
8_8_3_0,0,0,0,0,0.266666667
8_8_2_0,0,0,0,0,0.773333333
3_6_2_0,0,0,0,0,0.03
5_6_5_0,0,0,0,0,0.01
9_9_3_0,0,0,0,0,0.03
9_9_4_0,0,0,0,0,0.086666667
9_9_2_0,0,0,0,0,0.02
4_5_4_0,0,0,0,0,0.003333333
3_4_2_0,0,0,0,0,0.05
8_7_4_0,0,0,0,0,0.006666667
5_7_5_0,0,0,0,0,0.006666667
8_8_5_0,0,0,0,0,0.04
9_9_6_0,0,0,0,0,0.003333333
4_6_4_0,0,0,0,0,0.006666667
8_8_6_0,0,0,0,0,0.023333333
6_6_1_1,0.076666667,0.076666667,0.083333333,0.17,2.196666667
4_3_1_1,0.48,0.32,0.293333333,0.213333333,0.196666667
4_4_1_1,0.163333333,0.153333333,0.25,0.026666667,0.273333333
6_5_4_1,0.006666667,0.006666667,0.016666667,0.02,0.02
7_6_1_1,1.813333333,2.596666667,1.983333333,4.056666667,1.473333333
5_4_1_2,6.263333333,7.21,4.293333333,3.33,0.746666667
6_6_2_3,0.07,0.023333333,0,0,0
8_7_1_1,0.496666667,0.366666667,0.273333333,0.476666667,0.133333333
5_5_1_2,0.09,0.043333333,0.06,0.06,1.043333333
7_6_4_2,0.11,0,0.063333333,0,0.006666667
8_8_2_3,0.016666667,0,0,0,0.016666667
9_8_1_1,0.566666667,0.46,0.16,0.216666667,0.08
5_4_2_2,0.026666667,0,0.063333333,0.03,0.006666667
5_4_3_2,0.01,0.016666667,0.02,0.01,0
5_6_1_1,0.053333333,0.07,0,0,0.063333333
7_7_2_3,0.03,0.006666667,0,0,0.026666667
5_4_1_3,0.01,0,0,0,0
7_6_1_2,1.266666667,3.466666667,3.703333333,5.06,0.643333333
7_6_2_2,0.033333333,0.103333333,0.366666667,0.043333333,0.143333333
5_5_2_2,0.003333333,0,0,0,0.01
8_7_6_1,0.476666667,0.286666667,0.013333333,0.043333333,0
9_8_6_1,0.143333333,0.363333333,0.053333333,0.016666667,0.003333333
7_6_2_1,0.093333333,0.133333333,0.39,0.16,0.756666667
8_7_6_2,0.156666667,0.036666667,0.33,0.033333333,0.026666667
9_8_1_2,0.503333333,0.89,0.286666667,0.303333333,0.046666667
8_7_1_2,0.65,0.2,1.29,0.353333333,0.13
8_7_3_3,0.033333333,0,0,0,0
7_6_5_2,0.026666667,0.006666667,0.02,0,0.003333333
5_6_3_2,0.006666667,0,0,0,0
9_8_5_2,0.03,0,0,0,0
8_7_3_2,0.023333333,0.07,0.18,0,0
6_5_1_3,0.44,0.336666667,1.49,0.236666667,0.013333333
9_8_2_1,0.053333333,0,0.116666667,0,0.026666667
5_5_4_1,0.003333333,0,0.013333333,0,0.006666667
4_6_3_1,0.006666667,0,0,0,0
